serial,firm,permission_date,permission_date_raw,permission_no,drug_name,indication,dosage_form,permission_type,source_name,source_url,out_of_scope,out_of_scope_reason,retrieved_utc
1,M/s Reliance Life Sciences Pvt. Ltd.,2020-02-21,21-02-2020,MF/BIO/20/000009,Omalizumab powder for solution for Injection,Asthma Omalizumab is indicated for adult patients with moderate to severe persistent asthma who have a positive skin test or invitro reactivity to a perennial aeroallergen and whose symptoms are inadequately controlled with inhaled corticosteroids. Limitations of Use:  Omalizumab is not indicated for the relief of acute bronchospasm or status asthmaticus.  Omalizumab is not indicated for treatment of other allergic conditions. Chronic Idiopathic Urticaria (CIU) Omalizumab is indicated for the treatment of adult patients with chronic idiopathic urticaria who remain symptomatic despite H1 antihistamine treatment. Limitation of Use:  Omalizumab is not indicated for treatment of other forms of urticaria.,Dosage Form: Lyophilized Powder for solution for Injection; Strength: 150 mg. Omalizumab powder for solution for Injection (subcutaneous route) 1. Single Use Vial (Single vial containing lyophilized product in the strength of 150 mg) 2. Combikit,manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
2,M/s Reliance Life Sciences Pvt. Ltd.,2020-02-26,26-02-2020,MF/BIO/20/000011,Omalizumab (new bulk drug substance) (90.00 mg/ml to 110.00 mg/ml),,Omalizumab (new bulk drug substance) (90.00 mg/ml to 110.00 mg/ml),manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
3,M/s Reliance Life Sciences Pvt. Ltd,2020-03-30,30-03-2020,MF/BIO/20/000024,Ranibizumab Injection,Indicated for the Neovascular (Wet) Age-Related Macular Degeneration (AMD).,Dosage Form: Solution for Injection in vial. Strength: Ranibizumab 0.5 mg -10mg/ml (2.3 mg/0.23ml) - Ranibizumab 0.3 mg - 6mg/ml (1.38 mg /0.23 ml) 1. Single Use Vial (Single vial containing of 0.5 mg or o.3 mg Ranibizumab) 2. Combikit,manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
4,M/s Reliance Life Sciences Pvt. Ltd,2020-04-03,3-04-2020,MF/BIO/20/000026,Ranibizumab bulk drug substance,,Ranibizumab bulk drug substance 12 mg/mL to 18 mg/mL,manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
5,M/s USV Private Limited,2020-04-13,13-04-2020,MF/BIO/20/000030,Pegfilgrastim bulk drug substance,,Pegfilgrastim bulk drug substance,manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,pegfilgrastim is an oncology molecule,2026-08-05T12:34:01+00:00
6,M/s Biocon Biologics India Limited,2020-09-21,21-09-2020,MF 378/2012,Itolizumab Injection (r- DNA origin) 100 mg/vial lyophilized powder, Treatment of patients with active moderate to severe chronic plaque psoriasis who are candidates for systemic therapy.  Restricted Emergency Use in the country for the treatment of Cytokine Release Syndrome (CRS) in moderate to severe Acute Respiratory Distress Syndrome (ARDS) patients due to COVID-19,Lyophilized powder for i.v injection. Each vial of Itolizumab Injection is reconstituted with approximately 1.1 mL of sterile water for injection. This results in a protein concentration of approximately 100 mg/mL Strength: 100mg/mL,manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
7,M/s Biocon Biologics India Limited,2020-09-22,22-09-2020,BULK - 377/2012,Itolizumab bulk drug substance (r-DNA origin),,"Itolizumab bulk drug substance (r-DNA origin) 27±2 mg/mL, inhouse specification",manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
8,M/s Mylan Pharmaceutical s Private Limited,2021-01-07,07-01-2021,MF/BIO/21/000005,Etanercept,"Rheumatoid Arthritis (RA)–□Etanercept in combination with methotrexate is indicated for the treatment of moderate to severe active rheumatoid arthritis in adults when the response to disease-modifying antirheumatic drugs, including methotrexate (unless contraindicated), has been inadequate.□Etanercept can be given as monotherapy in case of intolerance to methotrexate or when continued treatment with methotrexate is inappropriate□Etanercept is also indicated in the treatment of severe, active and progressive rheumatoid arthritis in adults not previously treated with methotrexate. □Etanercept, alone or in combination with methotrexate, has been shown to reduce the rate of progression of joint damage as measured by X-ray and to improve physical functionJuvenile Idiopathic Arthritis (JIA) – □Treatment of polyarthritis (rheumatoid factor positive or negative)and extended oligoarthritis in children and adolescents from the age of 2 years who have had aninadequate response to, or who have proved intolerant of, methotrexate.□Treatment of psoriatic arthritis in adolescents from the age of 12 years who have had an inadequate response to, or who have proved intolerant of, methotrexate.□Treatment of enthesitis-related arthritis in adolescents from the age of 12 years who have had an inadequate response to, or who have proved intolerant of, conventional therapy.□Etanercept has not been studied in children aged less than 2 years.Psoriatic Arthritis (PsA) –Treatment of active and progressive psoriatic arthritis in adults when the response to previous diseasemodifying antirheumatic drug therapy has been inadequate. Etanercept has been shown to improve physical function in patients with psoriatic arthritis, and to reduce the rate of progression of peripheral joint damage as measured by X-ray in patients with polyarticular symmetrical subtypes of the disease.Axial spondyloarthritisAnkylosing Spondylitis (AS)– Treatment of adults with severe active ankylosing spondylitis who have had an inadequate response to conventional therapy.Nonradiographic Axial Spondyloarthritis (nr-AxSpA)-Treatment of adults with severe non-radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C-reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence, who have had an inadequate response to nonsteroidal anti-inflammatory drugs (NSAIDs).Plaque Psoriasis (PsO) -Treatment of adults with moderate to severe plaque psoriasis who failed to respond to, or who have a contraindication to, or are intolerant to other systemic therapy, including ciclosporin, methotrexate or psoralenand ultraviolet-A light (PUVA).Pediatric Plaque Psoriasis-Treatment of chronic severe plaque psoriasis in children and adolescents from the age of 6 years who are inadequately controlled by, or are intolerant to, other systemic therapies or phototherapies.",Dosage Form: Solution for subcutaneous Injection (single use) Strength: Pre- filled syringe:(i)50 mg/mL in Prefilled Syringes (ii) 25 mg /0.5 mL in Pre- filled Syringes Pre-filled Pen: (i). 50 mg/mL Pre-filled pen,manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
9,M/s Mylan Pharmaceutica l Private Limited,2021-01-11,11-01-21,Bulk-BIO/03/2021,Etanercept drug substance (r- DNA origin),NA,Protein Concentration 50 ± 5 mg/mL,manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,False,,2026-08-05T12:34:01+00:00
10,M/s Cadila Healthcare Limited,2021-01-12,12-01-2021,MF/BIO/21/000008,"Trastuzumab emtansine, bulk",NA,"Trastuzumab emtansine (r-DNA origin) Bulk drug substance; (Protein Concentration18.00 –22.00 mg/mL), in-house specification",manufacture,CDSCO r-DNA register — CT-21 Approvals Jan 2020 - June 2026.pdf,https://cdsco.gov.in/opencms/opencms/en/biologicals/rDNA/,True,trastuzumab is an oncology molecule,2026-08-05T12:34:01+00:00
