molecule_read,brand_read,strength_read,dosage_type,raw,cghs_list,standing_technical_committee_required,approved_by,restricted,stc_cost_triggers,source_name,source_file,out_of_scope,out_of_scope_reason,retrieved_utc
Aminoglutethimide,,,Tab,AMINOGLUTETHIMIDE TAB (PACK SIZE 10X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Amivantamab,,350 MG,Inj.,AMIVANTAMAB 350 MG INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Apalutamide,,60 MG,Tab,APALUTAMIDE 60 MG TAB (PACK SIZE 1X120),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Apalutamide,,60 MG,Tab,APALUTAMIDE 60 MG TAB (PACK SIZE 1X60),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Asciminib Fct,KYZIFIC,40 MG,Tab,ASCIMINIB (KYZIFIC) FCT 40 MG (PACK SIZE 1X60),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Avelumab,,200MG,Inj.,AVELUMAB 200MG INJ (PACK SIZE 1x1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Belumosudil,,200 MG,Tab,BELUMOSUDIL 200 MG TAB (PACK SIZE 1X30),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Benralizumab,,30 MG,Inj.,BENRALIZUMAB 30 MG PFS INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Brentuximab Vedotin,,50MG,Inj.,BRENTUXIMAB VEDOTIN 50MG INJ (PACK SIZE 1 X 1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,True,brentuximab is an oncology molecule,2026-08-05T15:26:38+00:00
Capmatinib,,150 MG,Tab,CAPMATINIB 150 MG TAB (PACK SIZE 1X60),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Capmatinib,,200 MG,Tab,CAPMATINIB 200 MG TAB (PACK SIZE 1X60),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Concizumab,,150 MG,Inj.,CONCIZUMAB 150 MG PFS INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Concizumab,,60 MG,Inj.,CONCIZUMAB 60 MG PFS INJ (PACK SIZE 1X1),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
Dabrafenib,,75 MG,Caps,DABRAFENIB 75 MG CAP (PACK SIZE 1X28),STC,True,Standing Technical Committee,True,"{""per_administration_inr"": 10000, ""per_month_inr"": 50000, ""cancer_cycle_inr"": 1500000, ""non_stc_cancer_cycle_below_inr"": 100000, ""auto_transition_cases_in_6_months"": 20, ""always_stc"": ""immunotherapy""}",CGHS restricted medicine lists,STC_Restricted_Medicine.csv,False,,2026-08-05T15:26:38+00:00
