drug,category,indication,registry_indication,indication_category,mapped,off_label,qualifier,is_primary
Enalapril,CVD,Hypertension,Hypertension,CVD,True,False,,True
Enalapril,CVD,Heart failure,Heart Failure,CVD,True,False,,False
Enalapril,CVD,Asymptomatic LV dysfunction,,,False,False,,False
Enalapril,CVD,Diabetic nephropathy,,,False,False,,False
Ramipril,CVD,Hypertension,Hypertension,CVD,True,False,,True
Ramipril,CVD,Heart failure,Heart Failure,CVD,True,False,,False
Ramipril,CVD,Post-MI,,,False,False,,False
Ramipril,CVD,High CV-risk,,,False,False,HOPE,False
Ramipril,CVD,Nephropathy,,,False,False,,False
Lisinopril,CVD,Hypertension,Hypertension,CVD,True,False,,True
Lisinopril,CVD,Heart failure,Heart Failure,CVD,True,False,,False
Lisinopril,CVD,Post-MI,,,False,False,,False
Perindopril,CVD,Hypertension,Hypertension,CVD,True,False,,True
Perindopril,CVD,Stable CAD,,,False,False,,False
Perindopril,CVD,Heart failure,Heart Failure,CVD,True,False,,False
Captopril,CVD,Hypertension,Hypertension,CVD,True,False,,True
Captopril,CVD,Heart failure,Heart Failure,CVD,True,False,"short-acting, now less used",False
Fosinopril,CVD,Hypertension,Hypertension,CVD,True,False,,True
Fosinopril,CVD,Heart failure,Heart Failure,CVD,True,False,,False
Losartan,CVD,Hypertension,Hypertension,CVD,True,False,,True
Losartan,CVD,Diabetic nephropathy,,,False,False,,False
Losartan,CVD,Stroke prevention in LVH,,,False,False,,False
Telmisartan,CVD,Hypertension,Hypertension,CVD,True,False,,True
Telmisartan,CVD,CV-risk reduction,,,False,False,,False
Olmesartan,CVD,Hypertension,Hypertension,CVD,True,False,,True
Valsartan,CVD,Hypertension,Hypertension,CVD,True,False,,True
Valsartan,CVD,Heart failure,Heart Failure,CVD,True,False,,False
Valsartan,CVD,Post-MI,,,False,False,,False
Candesartan,CVD,Hypertension,Hypertension,CVD,True,False,,True
Candesartan,CVD,Heart failure,Heart Failure,CVD,True,False,,False
