medicine,nlem_section,care_levels,care_levels_expanded,formulations,source_name,source_url,source_pdf,retrieved_utc
Halothane,1.1.1,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Liquid for inhalation""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Isoflurane,1.1.2,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Liquid for inhalation""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Ketamine,1.1.3,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Injection 10 mg/mL""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Nitrous oxide,1.1.4,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""As licensed for medical purpose""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Oxygen,1.1.5,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""As licensed for medical purpose""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Propofol,1.1.6,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Injection 10 mg/mL""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Sevoflurane,1.1.7,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Liquid for inhalation""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Thiopentone,1.1.8,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Powder for injection 0.5 g""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Atropine,1.3.1,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Injection 0.6 mg/mL"", ""Drops 1%""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Glycopyrrolate,1.3.2,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Injection 0.2 mg/mL""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
